PAR TL208
AZP 208 ; 81
NDA 1
COM ***************** Evaluation Date: 28/07/2010 ****************
COM ===================== Daughter Separator =====================
DAU PB208
DDE 1 ;  ; 16 ; 15
Q   4999 ; 1.7
COM ---------------------- Branch Separator ----------------------
EL1 0.00000214 ; 0.00000014 ; 733.009 ; 0.02 ; 2
EL2 0.000000199 ; 0.000000013 ; 733.67 ; 0.02 ; 2
EL3 0.0000000144 ; 0.000000001 ; 735.835 ; 0.02 ; 2
EM  0.00000055 ; 0.000000037 ; 745.762 ; 0.02 ; 2
EN  0.000000168 ; 0.000000011 ; 748.38 ; 0.02 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3919.966 ; 0.013 ; 14 ;  ;  ; 5
GA  0.0018 ; 0.0001 ; 211.52 ; 0.02 ; 4
EK  0.0016 ; 0.00009 ; 123.516 ; 0.02 ; 4
EL1 0.000248 ; 0.000014 ; 195.659 ; 0.02 ; 4
EL2 0.0000304 ; 0.000002 ; 196.32 ; 0.02 ; 4
EL3 0.0000047 ; 0.0000008 ; 198.485 ; 0.02 ; 4
EM  0.0000664 ; 0.0000038 ; 208.412 ; 0.02 ; 4
EN  0.0000202 ; 0.0000012 ; 211.03 ; 0.02 ; 4
GA  0.0024 ; 0.0004 ; 722.26 ; 0.02 ; 2
EK  0.000076 ; 0.000013 ; 634.256 ; 0.02 ; 2
EL1 0.0000115 ; 0.0000019 ; 706.399 ; 0.02 ; 2
EL2 0.00000118 ; 0.0000002 ; 707.06 ; 0.02 ; 2
EL3 0.000000118 ; 0.000000021 ; 709.225 ; 0.02 ; 2
EM  0.000003 ; 0.0000005 ; 719.152 ; 0.02 ; 2
EN  0.00000091 ; 0.00000015 ; 721.77 ; 0.02 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3708.451 ; 0.012 ; 21 ;  ;  ; 4
GA  0.0031 ; 0.0001 ; 233.37 ; 0.02 ; 3
EK  0.00158 ; 0.00011 ; 145.366 ; 0.02 ; 3
EL1 0.000239 ; 0.000017 ; 217.509 ; 0.02 ; 3
EL2 0.000079 ; 0.000007 ; 218.17 ; 0.02 ; 3
EL3 0.0000329 ; 0.0000045 ; 220.335 ; 0.02 ; 3
EM  0.0000852 ; 0.000003 ; 230.262 ; 0.02 ; 3
EN  0.0000258 ; 0.0000009 ; 232.88 ; 0.02 ; 3
GA  0.225 ; 0.002 ; 510.74 ; 0.02 ; 2
EK  0.01879 ; 0.00034 ; 422.736 ; 0.02 ; 2
EL1 0.00286 ; 0.00005 ; 494.879 ; 0.02 ; 2
EL2 0.000282 ; 0.000005 ; 495.54 ; 0.02 ; 2
EL3 0.0000202 ; 0.0000014 ; 497.705 ; 0.02 ; 2
EM  0.00074 ; 0.000013 ; 507.632 ; 0.02 ; 2
EN  0.0002254 ; 0.000004 ; 510.25 ; 0.02 ; 2
GA  0.0044 ; 0.0001 ; 1093.9 ; 0.02 ; 1
