PAR PA231
AZP 231 ; 91
NDA 1
COM ***************** Evaluation Date: 08/03/2010 ****************
COM ===================== Daughter Separator =====================
DAU AC227
DDE 1 ;  ; 25 ; 23
Q   5149.9 ; 0.8
COM ---------------------- Branch Separator ----------------------
EL2 0.000000266 ; 0.000000009 ; 308.049 ; 0.04 ; 1
EL3 0.000000178 ; 0.000000006 ; 311.26 ; 0.04 ; 1
EM  0.000000379 ; 0.000000013 ; 323.098 ; 0.04 ; 1
EN  0.0000001228 ; 0.0000000041 ; 326.381 ; 0.04 ; 1
GA  0.000962 ; 0.00002 ; 354.5 ; 0.04 ; 0
EK  0.0000823 ; 0.0000021 ; 247.744 ; 0.04 ; 0
EL1 0.00001395 ; 0.00000035 ; 334.654 ; 0.04 ; 0
EL2 0.00001701 ; 0.00000043 ; 335.419 ; 0.04 ; 0
EL3 0.00000618 ; 0.00000015 ; 338.63 ; 0.04 ; 0
EM  0.00000965 ; 0.00000024 ; 350.468 ; 0.04 ; 0
EN  0.00000314 ; 0.00000008 ; 353.751 ; 0.04 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 330.04 ; 0.01 ; 48 ;  ;  ; 15
GA  0.000047 ; 0.000007 ; 56.9 ; 0.03 ; 13
EL1 0.00049 ; 0.00008 ; 37.054 ; 0.03 ; 13
EL2 0.00045 ; 0.00014 ; 37.819 ; 0.03 ; 13
EL3 0.00035 ; 0.00012 ; 41.03 ; 0.03 ; 13
EM  0.00033 ; 0.00008 ; 52.868 ; 0.03 ; 13
EN  0.000109 ; 0.000027 ; 56.151 ; 0.03 ; 13
GA  0.000067 ; 0.000005 ; 245.49 ; 0.014 ; 5
EK  0.000248 ; 0.000019 ; 138.734 ; 0.014 ; 5
EL1 0.0000611 ; 0.0000046 ; 225.644 ; 0.014 ; 5
EL2 0.0000092 ; 0.0000007 ; 226.409 ; 0.014 ; 5
EL3 0.00000626 ; 0.00000048 ; 229.62 ; 0.014 ; 5
EM  0.0000196 ; 0.0000015 ; 241.458 ; 0.014 ; 5
EN  0.00000651 ; 0.0000005 ; 244.741 ; 0.014 ; 5
GA  0.001059 ; 0.000022 ; 255.9 ; 0.014 ; 4
EK  0.0001051 ; 0.0000026 ; 149.144 ; 0.014 ; 4
EL1 0.0000193 ; 0.0000005 ; 236.054 ; 0.014 ; 4
EL2 0.0000752 ; 0.0000019 ; 236.819 ; 0.014 ; 4
EL3 0.0000343 ; 0.0000009 ; 240.03 ; 0.014 ; 4
EM  0.0000346 ; 0.0000009 ; 251.868 ; 0.014 ; 4
EN  0.00001125 ; 0.00000029 ; 255.151 ; 0.014 ; 4
GA  0.0165 ; 0.0003 ; 283.69 ; 0.014 ; 3
EK  0.000543 ; 0.000013 ; 176.934 ; 0.014 ; 3
EL1 0.0000706 ; 0.0000016 ; 263.844 ; 0.014 ; 3
EL2 0.00001808 ; 0.00000042 ; 264.609 ; 0.014 ; 3
EL3 0.00001256 ; 0.00000029 ; 267.82 ; 0.014 ; 3
EM  0.0000242 ; 0.0000006 ; 279.658 ; 0.014 ; 3
EN  0.00000782 ; 0.00000019 ; 282.941 ; 0.014 ; 3
GA  0.0241 ; 0.0005 ; 300.06 ; 0.014 ; 2
EK  0.01477 ; 0.00047 ; 193.304 ; 0.014 ; 2
EL1 0.00244 ; 0.00008 ; 280.214 ; 0.014 ; 2
EL2 0.000301 ; 0.000016 ; 280.979 ; 0.014 ; 2
EL3 0.000019 ; 0.000007 ; 284.19 ; 0.014 ; 2
EM  0.000663 ; 0.000018 ; 296.028 ; 0.014 ; 2
